listing_id,old_price,new_price,changed_at
3331,29.99,24.99,2026-08-28T21:40:07.277786+00:00
3342,22.00,20.00,2026-08-28T21:40:07.277786+00:00
3313,32.00,30.00,2026-08-28T21:40:16.104603+00:00
3437,30.00,15.00,2026-08-28T21:40:16.104603+00:00
3404,50.00,39.99,2026-08-28T21:40:16.104603+00:00
3355,20.99,18.99,2026-08-28T21:40:16.104603+00:00
3479,35.00,25.00,2026-08-28T21:40:23.761310+00:00
3485,14.99,12.50,2026-08-28T21:40:23.761310+00:00
3511,18.00,16.00,2026-08-28T21:40:33.470601+00:00
3751,9.00,8.00,2026-08-28T21:40:48.590201+00:00
4182,9.00,6.00,2026-08-28T21:41:05.508390+00:00
3998,8.50,7.50,2026-08-28T21:41:05.508390+00:00
4268,22.00,21.00,2026-08-28T21:41:05.508390+00:00
4084,34.00,32.99,2026-08-28T21:41:13.400964+00:00
4109,20.00,18.00,2026-08-28T21:41:13.400964+00:00
4212,14.00,12.00,2026-08-28T21:41:13.400964+00:00
4312,43.00,38.00,2026-08-28T21:41:13.400964+00:00
4284,24.00,22.00,2026-08-28T21:41:23.110307+00:00
4259,30.00,25.00,2026-08-28T21:41:23.110307+00:00
4176,6.00,5.00,2026-08-28T21:41:23.110307+00:00
4231,30.00,25.00,2026-08-28T21:41:32.739634+00:00
4313,45.00,40.00,2026-08-28T21:41:32.739634+00:00
4283,20.00,15.00,2026-08-28T21:41:32.739634+00:00
4309,24.50,22.00,2026-08-28T21:41:32.739634+00:00
4297,10.00,9.00,2026-08-28T21:41:40.470907+00:00
4412,29.50,28.99,2026-08-28T21:41:40.470907+00:00
4390,10.50,9.00,2026-08-28T21:41:47.303410+00:00
4475,55.00,50.00,2026-08-28T21:41:47.303410+00:00
4476,20.00,18.00,2026-08-28T21:41:47.303410+00:00
4524,50.00,45.00,2026-08-28T21:41:54.313569+00:00
4615,90.00,80.00,2026-08-28T21:41:54.313569+00:00
4617,22.50,18.00,2026-08-28T21:42:03.988559+00:00
4627,11.50,11.00,2026-08-28T21:42:03.988559+00:00
4647,129.00,99.00,2026-08-28T21:42:03.988559+00:00
4946,35.00,30.00,2026-08-28T21:42:29.932381+00:00
4948,8.00,6.00,2026-08-28T21:42:29.932381+00:00
4953,8.00,6.00,2026-08-28T21:42:29.932381+00:00
4965,18.00,15.00,2026-08-28T21:42:29.932381+00:00
4980,19.99,14.99,2026-08-28T21:42:29.932381+00:00
5074,5.00,4.00,2026-08-28T21:42:29.932381+00:00
5057,35.00,29.00,2026-08-28T21:42:36.446137+00:00
5068,45.00,39.00,2026-08-28T21:42:36.446137+00:00
5119,22.00,20.99,2026-08-28T21:42:36.446137+00:00
5174,40.00,35.00,2026-08-28T21:42:45.086130+00:00
5326,10.00,9.00,2026-08-28T21:43:00.645777+00:00
5791,15.00,12.00,2026-08-28T21:43:30.606477+00:00
5670,3.00,2.50,2026-08-28T21:43:30.606477+00:00
5941,26.00,24.00,2026-08-28T21:43:47.349915+00:00
6102,30.00,25.00,2026-08-28T21:43:47.349915+00:00
6129,15.00,10.00,2026-08-28T21:43:47.349915+00:00
5961,20.00,18.00,2026-08-28T21:43:57.715622+00:00
6177,14.00,10.00,2026-08-28T21:43:57.715622+00:00
6115,37.00,32.00,2026-08-28T21:43:57.715622+00:00
6072,15.00,11.00,2026-08-28T21:43:57.715622+00:00
6148,37.00,28.00,2026-08-28T21:44:05.360405+00:00
6335,35.00,30.00,2026-08-28T21:44:05.360405+00:00
6276,14.99,13.99,2026-08-28T21:44:05.360405+00:00
6136,10.00,7.00,2026-08-28T21:44:05.360405+00:00
6238,55.00,50.00,2026-08-28T21:44:13.915766+00:00
6267,11.50,7.50,2026-08-28T21:44:24.047774+00:00
6419,40.00,25.00,2026-08-28T21:44:24.047774+00:00
6369,40.00,35.00,2026-08-28T21:44:31.503988+00:00
6462,55.00,52.00,2026-08-28T21:44:39.604518+00:00
6473,23.00,22.00,2026-08-28T21:44:39.604518+00:00
6589,29.99,27.00,2026-08-28T21:44:39.604518+00:00
6624,40.00,35.00,2026-08-28T21:45:06.706479+00:00
6757,35.00,34.00,2026-08-28T21:45:06.706479+00:00
6923,40.00,35.00,2026-08-28T21:45:15.762523+00:00
7036,15.00,12.50,2026-08-28T21:45:24.261614+00:00
7026,12.00,10.00,2026-08-28T21:45:24.261614+00:00
7162,35.00,30.00,2026-08-28T21:45:24.261614+00:00
7081,8.00,5.00,2026-08-28T21:45:24.261614+00:00
7466,21.00,17.00,2026-08-28T21:45:24.261614+00:00
7260,35.00,32.00,2026-08-28T21:45:44.090700+00:00
7228,20.00,16.00,2026-08-28T21:45:44.090700+00:00
7163,10.00,9.50,2026-08-28T21:45:44.090700+00:00
7248,14.00,13.00,2026-08-28T21:45:52.400924+00:00
7344,14.95,12.95,2026-08-28T21:45:52.400924+00:00
7463,35.00,34.50,2026-08-28T21:46:12.080294+00:00
7507,18.00,16.00,2026-08-28T21:46:12.080294+00:00
7666,15.00,12.50,2026-08-28T21:46:20.953192+00:00
7760,10.00,8.00,2026-08-28T21:46:32.495274+00:00
7770,25.00,22.00,2026-08-28T21:46:42.937260+00:00
7655,37.00,35.00,2026-08-28T21:46:42.937260+00:00
8197,40.00,30.00,2026-08-28T21:46:50.820976+00:00
7913,28.50,27.00,2026-08-28T21:46:50.820976+00:00
7984,16.00,13.00,2026-08-28T21:46:59.555854+00:00
7995,26.99,23.99,2026-08-28T21:46:59.555854+00:00
7971,6.00,5.00,2026-08-28T21:47:07.779532+00:00
8087,6.00,5.99,2026-08-28T21:47:07.779532+00:00
8162,5.99,5.00,2026-08-28T21:47:25.226260+00:00
8238,26.99,23.99,2026-08-28T21:47:25.226260+00:00
8329,43.50,42.00,2026-08-28T21:47:32.538752+00:00
8324,50.00,48.00,2026-08-28T21:47:32.538752+00:00
8314,7.00,5.00,2026-08-28T21:47:32.538752+00:00
8535,200.00,135.00,2026-08-28T21:47:43.207460+00:00
8730,7.00,8.00,2026-08-28T21:47:58.799521+00:00
8973,9.30,6.30,2026-08-28T21:48:15.099348+00:00
8960,9.95,8.49,2026-08-28T21:48:15.099348+00:00
9127,15.00,10.00,2026-08-28T21:48:21.716626+00:00
9085,11.00,10.00,2026-08-28T21:48:21.716626+00:00
9224,16.00,12.00,2026-08-28T21:48:32.652248+00:00
9070,20.00,15.00,2026-08-28T21:48:32.652248+00:00
9918,15.00,12.00,2026-08-28T21:49:47.166226+00:00
9942,20.00,17.50,2026-08-28T21:49:47.166226+00:00
9965,5.00,4.00,2026-08-28T21:49:47.166226+00:00
10170,2.50,2.15,2026-08-28T21:50:03.919092+00:00
10348,18.00,17.00,2026-08-28T21:50:12.823080+00:00
10450,2.00,5.00,2026-08-28T21:50:21.350256+00:00
10260,6.00,7.00,2026-08-28T21:50:29.135708+00:00
10477,5.00,3.50,2026-08-28T21:50:29.135708+00:00
11177,5.00,4.00,2026-08-28T21:51:18.798386+00:00
11104,16.00,15.00,2026-08-28T21:51:18.798386+00:00
11254,29.99,19.99,2026-08-28T21:51:26.274443+00:00
11249,9.00,6.00,2026-08-28T21:51:26.274443+00:00
11147,8.00,7.00,2026-08-28T21:51:26.274443+00:00
11313,12.00,8.00,2026-08-28T21:51:35.642375+00:00
11388,13.00,12.00,2026-08-28T21:51:35.642375+00:00
11381,55.00,50.00,2026-08-28T21:51:43.651343+00:00
11422,85.00,65.00,2026-08-28T21:51:52.879205+00:00
11437,6.00,4.00,2026-08-28T21:51:52.879205+00:00
11891,7.00,6.00,2026-08-28T21:51:52.879205+00:00
11563,2.50,2.00,2026-08-28T21:51:52.879205+00:00
11505,6.00,8.00,2026-08-28T21:52:01.211284+00:00
11487,8.00,10.00,2026-08-28T21:52:01.211284+00:00
11541,19.99,24.99,2026-08-28T21:52:26.379005+00:00
11958,12.00,11.50,2026-08-28T21:52:38.021915+00:00
11995,12.00,10.50,2026-08-28T21:52:38.021915+00:00
12270,20.00,18.00,2026-08-28T21:52:38.021915+00:00
12060,7.00,5.00,2026-08-28T21:52:38.021915+00:00
11996,6.00,5.00,2026-08-28T21:52:38.021915+00:00
12330,15.00,10.00,2026-08-28T21:52:48.054575+00:00
12221,65.00,55.00,2026-08-28T21:52:48.054575+00:00
12318,20.00,15.00,2026-08-28T21:52:48.054575+00:00
12159,32.50,30.00,2026-08-28T21:52:48.054575+00:00
12532,60.00,50.00,2026-08-28T21:52:55.557398+00:00
12213,12.00,9.00,2026-08-28T21:53:03.839686+00:00
12451,15.00,13.00,2026-08-28T21:53:03.839686+00:00
12354,10.00,6.00,2026-08-28T21:53:03.839686+00:00
12474,40.00,25.00,2026-08-28T21:53:12.085561+00:00
12564,25.00,15.00,2026-08-28T21:53:22.447130+00:00
12462,16.00,14.50,2026-08-28T21:53:31.714586+00:00
12500,27.00,23.00,2026-08-28T21:53:31.714586+00:00
12578,22.50,19.50,2026-08-28T21:53:31.714586+00:00
12349,8.00,5.00,2026-08-28T21:53:31.714586+00:00
12534,30.00,28.50,2026-08-28T21:53:42.215356+00:00
12697,60.00,50.00,2026-08-28T21:53:51.986028+00:00
12776,50.00,42.00,2026-08-28T21:54:01.119182+00:00
12799,29.00,22.00,2026-08-28T21:54:01.119182+00:00
12760,25.00,24.00,2026-08-28T21:54:01.119182+00:00
12660,12.00,11.00,2026-08-28T21:54:01.119182+00:00
12978,1.80,1.70,2026-08-28T21:54:10.841149+00:00
13114,2.50,1.00,2026-08-28T21:54:10.841149+00:00
13154,12.00,10.00,2026-08-28T21:54:21.125359+00:00
13166,22.00,21.00,2026-08-28T21:54:21.125359+00:00
13196,4.50,3.50,2026-08-28T21:54:31.162926+00:00
13344,25.00,20.00,2026-08-28T21:54:41.586516+00:00
13399,1.00,2.50,2026-08-28T21:54:49.534719+00:00
13927,10.00,8.00,2026-08-28T21:54:49.534719+00:00
13608,4.00,3.50,2026-08-28T21:54:57.220753+00:00
